epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.5658,1.54488,2.91309,1.85107,0.79312,0.49343,0.58924,0.22758,1.15194,1.77537,1.70439,0.000332555,0.000332555,0.000332555
2,65.9709,1.53692,2.1596,1.79058,0.72564,0.50811,0.57877,0.23013,1.21304,1.82414,1.73052,0.000652703,0.000652703,0.000652703
3,96.0241,1.52446,1.94993,1.77686,0.79381,0.53466,0.61732,0.28946,1.17672,1.42878,1.6712,0.000959652,0.000959652,0.000959652
4,126.101,1.52077,1.8042,1.76999,0.91867,0.58259,0.7145,0.32109,1.14286,1.186,1.60816,0.0009406,0.0009406,0.0009406
5,157.198,1.4778,1.68306,1.728,0.70834,0.61357,0.69726,0.33419,1.15505,1.17024,1.62732,0.0009208,0.0009208,0.0009208
6,188.215,1.4824,1.63876,1.72375,0.86579,0.59366,0.69738,0.41957,1.11241,1.26115,1.62547,0.000901,0.000901,0.000901
7,222.38,1.44171,1.5576,1.71089,0.86536,0.53245,0.68553,0.32071,1.06793,1.162,1.5531,0.0008812,0.0008812,0.0008812
8,255.029,1.41422,1.52405,1.68117,0.8798,0.60693,0.70199,0.28891,1.10729,1.14321,1.58591,0.0008614,0.0008614,0.0008614
9,286.093,1.39885,1.49934,1.66396,0.61008,0.71664,0.74082,0.38328,1.09065,1.01038,1.59905,0.0008416,0.0008416,0.0008416
10,317.009,1.36111,1.44542,1.64459,0.74328,0.69827,0.74993,0.36632,1.03069,1.05174,1.50041,0.0008218,0.0008218,0.0008218
11,347.195,1.3727,1.39837,1.64722,0.80452,0.64043,0.70617,0.33485,1.00342,1.16392,1.46143,0.000802,0.000802,0.000802
12,377.864,1.34983,1.37487,1.62232,0.81865,0.62399,0.71848,0.40029,0.98399,1.03776,1.46648,0.0007822,0.0007822,0.0007822
13,408.803,1.32446,1.33434,1.6052,0.82571,0.7152,0.79802,0.41541,1.0218,0.94282,1.51272,0.0007624,0.0007624,0.0007624
14,440.84,1.32517,1.30856,1.60169,0.74133,0.66335,0.72298,0.36968,0.97853,0.95673,1.46193,0.0007426,0.0007426,0.0007426
15,472.282,1.29916,1.28535,1.58601,0.8838,0.6961,0.77233,0.3727,1.02094,0.93932,1.49216,0.0007228,0.0007228,0.0007228
16,504.598,1.3142,1.28759,1.59905,0.66527,0.74062,0.65215,0.34006,0.97501,0.93698,1.41829,0.000703,0.000703,0.000703
17,539.086,1.27359,1.24181,1.57478,0.75597,0.70242,0.76733,0.34658,1.02136,1.01341,1.48908,0.0006832,0.0006832,0.0006832
18,571.231,1.27803,1.22239,1.56624,0.90236,0.69967,0.80556,0.39545,0.988,0.89196,1.45378,0.0006634,0.0006634,0.0006634
19,603.444,1.28636,1.22312,1.57144,0.721,0.65213,0.7949,0.39125,0.93626,0.90568,1.40971,0.0006436,0.0006436,0.0006436
20,643.528,1.24713,1.18743,1.54367,0.78242,0.64043,0.74888,0.37639,0.95367,0.88455,1.40655,0.0006238,0.0006238,0.0006238
21,683.821,1.24364,1.1774,1.54611,0.69119,0.6359,0.71951,0.36615,0.91032,0.90151,1.41293,0.000604,0.000604,0.000604
22,728.181,1.25088,1.15706,1.5489,0.78349,0.69827,0.76942,0.41254,0.90329,0.91601,1.4179,0.0005842,0.0005842,0.0005842
23,760.439,1.22024,1.14272,1.52397,0.89878,0.69281,0.81366,0.38142,0.91713,0.82745,1.41245,0.0005644,0.0005644,0.0005644
24,791.113,1.22158,1.14362,1.52187,0.67617,0.78651,0.65013,0.31928,0.92329,0.87384,1.40794,0.0005446,0.0005446,0.0005446
25,821.641,1.22092,1.10973,1.52449,0.8169,0.69923,0.75853,0.32043,0.90138,0.8576,1.39537,0.0005248,0.0005248,0.0005248
26,852.688,1.19933,1.09625,1.50899,0.91705,0.74285,0.82093,0.39398,0.94121,0.79531,1.4113,0.000505,0.000505,0.000505
27,883.581,1.2042,1.06279,1.50806,0.77661,0.74483,0.82582,0.43066,0.94261,0.83314,1.43023,0.0004852,0.0004852,0.0004852
28,914.786,1.18792,1.08687,1.49501,0.84096,0.65981,0.78317,0.38378,0.93699,0.87299,1.41755,0.0004654,0.0004654,0.0004654
29,946.5,1.18058,1.08137,1.49554,0.72669,0.79378,0.84321,0.45699,0.89579,0.83943,1.38718,0.0004456,0.0004456,0.0004456
30,977.717,1.17571,1.05673,1.48496,0.84404,0.8022,0.82544,0.42515,0.89104,0.82803,1.35845,0.0004258,0.0004258,0.0004258
31,1008.2,1.16828,1.03712,1.47498,0.87904,0.68099,0.80505,0.36531,0.90566,0.83305,1.41813,0.000406,0.000406,0.000406
32,1039.13,1.15823,1.01178,1.47166,0.90458,0.66246,0.81648,0.43996,0.82003,0.80184,1.33396,0.0003862,0.0003862,0.0003862
33,1069.45,1.13729,0.98843,1.4538,0.9055,0.68721,0.80865,0.42609,0.86115,0.86366,1.3801,0.0003664,0.0003664,0.0003664
34,1100.41,1.11885,0.97363,1.45078,0.86995,0.68117,0.84114,0.46097,0.96979,0.79982,1.45629,0.0003466,0.0003466,0.0003466
35,1132.99,1.11969,0.98475,1.45462,0.88091,0.69334,0.82593,0.3121,0.89133,0.83815,1.42383,0.0003268,0.0003268,0.0003268
36,1166.83,1.10773,0.95551,1.44018,0.88711,0.71528,0.82299,0.34674,0.93347,0.84891,1.45414,0.000307,0.000307,0.000307
37,1200.72,1.11275,0.95772,1.4396,0.87956,0.73358,0.84448,0.38814,0.87053,0.81719,1.36143,0.0002872,0.0002872,0.0002872
38,1233.69,1.0871,0.93125,1.41959,0.84206,0.76749,0.83428,0.43527,0.90855,0.74618,1.41974,0.0002674,0.0002674,0.0002674
39,1264.94,1.09541,0.92264,1.42551,0.89078,0.72476,0.82973,0.45817,0.85382,0.78336,1.35511,0.0002476,0.0002476,0.0002476
40,1295.83,1.08533,0.92588,1.42433,0.91832,0.70167,0.83615,0.39017,0.83604,0.7199,1.33861,0.0002278,0.0002278,0.0002278
41,1359.31,1.12904,0.75851,1.51622,0.90819,0.69611,0.86813,0.4043,0.83397,0.73863,1.32935,0.000208,0.000208,0.000208
42,1390.37,1.111,0.72091,1.49571,0.9328,0.70129,0.86525,0.45445,0.83102,0.74455,1.33537,0.0001882,0.0001882,0.0001882
43,1422.06,1.10688,0.71439,1.49085,0.90117,0.7567,0.86684,0.49807,0.8362,0.74204,1.31937,0.0001684,0.0001684,0.0001684
44,1453.24,1.08892,0.69948,1.48654,0.82778,0.77904,0.85941,0.47421,0.84203,0.72818,1.3451,0.0001486,0.0001486,0.0001486
45,1483.97,1.05675,0.67396,1.44993,0.90173,0.73272,0.84592,0.44736,0.84104,0.73858,1.34268,0.0001288,0.0001288,0.0001288
46,1513.69,1.0495,0.67517,1.45437,0.90951,0.73869,0.86606,0.44207,0.87166,0.68954,1.38844,0.000109,0.000109,0.000109
47,1543.46,1.03983,0.65909,1.44663,0.93029,0.73718,0.87637,0.42216,0.87908,0.71564,1.37319,8.92e-05,8.92e-05,8.92e-05
48,1573.92,1.02449,0.64323,1.4349,0.93145,0.74379,0.88115,0.49199,0.86494,0.69974,1.36312,6.94e-05,6.94e-05,6.94e-05
49,1604.42,1.01353,0.63702,1.41646,0.93848,0.74383,0.87861,0.48117,0.87355,0.69435,1.37737,4.96e-05,4.96e-05,4.96e-05
50,1635.67,1.00526,0.62882,1.40769,0.93747,0.74532,0.90102,0.48324,0.88085,0.67601,1.39085,2.98e-05,2.98e-05,2.98e-05
