epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
13,596.069,1.32446,1.33434,1.6052,0.69694,0.48654,0.54838,0.26547,1.26819,1.13966,1.71414,0.0007624,0.0007624,0.0007624
14,643.723,1.32517,1.30856,1.60169,0.5796,0.46884,0.48364,0.27298,1.22039,1.10266,1.66571,0.0007426,0.0007426,0.0007426
15,696.511,1.29916,1.28535,1.58601,0.74772,0.4639,0.53886,0.26492,1.24389,1.11683,1.6864,0.0007228,0.0007228,0.0007228
16,747.069,1.3142,1.28759,1.59905,0.59133,0.50625,0.5316,0.2912,1.20689,1.15835,1.61498,0.000703,0.000703,0.000703
17,798.546,1.27359,1.24181,1.57478,0.57027,0.46913,0.51708,0.24058,1.23906,1.16048,1.66528,0.0006832,0.0006832,0.0006832
18,848.823,1.27803,1.22239,1.56624,0.65377,0.52041,0.5614,0.28139,1.2643,1.06798,1.68516,0.0006634,0.0006634,0.0006634
19,898.132,1.28636,1.22312,1.57144,0.54081,0.43678,0.55085,0.27325,1.22724,1.0592,1.66556,0.0006436,0.0006436,0.0006436
20,945.342,1.24713,1.18743,1.54367,0.53762,0.51524,0.5063,0.25393,1.21266,1.03258,1.63289,0.0006238,0.0006238,0.0006238
21,993.585,1.24364,1.1774,1.54611,0.53215,0.4313,0.49087,0.24027,1.18178,1.09873,1.65401,0.000604,0.000604,0.000604
22,1031.34,1.25088,1.15706,1.5489,0.64301,0.4629,0.52779,0.27434,1.17727,1.11568,1.66342,0.0005842,0.0005842,0.0005842
23,1061.77,1.22024,1.14272,1.52397,0.69689,0.54573,0.58427,0.28726,1.19569,1.01494,1.65322,0.0005644,0.0005644,0.0005644
24,1092.13,1.22158,1.14362,1.52187,0.61847,0.53142,0.56869,0.28924,1.17974,1.06379,1.62626,0.0005446,0.0005446,0.0005446
25,1122.55,1.22092,1.10973,1.52449,0.68273,0.46861,0.52089,0.26922,1.14196,1.07291,1.59342,0.0005248,0.0005248,0.0005248
26,1153.4,1.19933,1.09625,1.50899,0.72517,0.52711,0.58795,0.31579,1.19828,1.00923,1.6369,0.000505,0.000505,0.000505
27,1184.18,1.2042,1.06279,1.50806,0.64574,0.529,0.58256,0.32297,1.22222,0.99749,1.68891,0.0004852,0.0004852,0.0004852
28,1215.06,1.18792,1.08687,1.49501,0.64229,0.42818,0.51094,0.26815,1.20087,1.03602,1.64905,0.0004654,0.0004654,0.0004654
29,1246.82,1.18058,1.08137,1.49554,0.64284,0.57306,0.59392,0.32349,1.16203,1.00162,1.61886,0.0004456,0.0004456,0.0004456
30,1278.26,1.17571,1.05673,1.48496,0.61604,0.57843,0.56533,0.2871,1.13253,1.01554,1.55378,0.0004258,0.0004258,0.0004258
31,1309.64,1.16828,1.03712,1.47498,0.62829,0.50404,0.55904,0.29062,1.17089,1.01737,1.64699,0.000406,0.000406,0.000406
32,1341.5,1.15823,1.01178,1.47166,0.6655,0.50625,0.5748,0.30442,1.0493,0.96855,1.53426,0.0003862,0.0003862,0.0003862
33,1372.43,1.13729,0.98843,1.4538,0.75607,0.45375,0.5773,0.35243,1.11136,1.03361,1.60031,0.0003664,0.0003664,0.0003664
34,1403.12,1.11885,0.97363,1.45078,0.71845,0.47647,0.6056,0.35224,1.21384,0.94556,1.67913,0.0003466,0.0003466,0.0003466
35,1433.33,1.11969,0.98475,1.45462,0.58546,0.56863,0.59077,0.27945,1.15445,1.02859,1.65047,0.0003268,0.0003268,0.0003268
36,1466.36,1.10773,0.95551,1.44018,0.73675,0.49755,0.58395,0.29682,1.17061,1.02161,1.65308,0.000307,0.000307,0.000307
37,1498.24,1.11275,0.95772,1.4396,0.68739,0.54306,0.6098,0.32398,1.11539,1.00358,1.56997,0.0002872,0.0002872,0.0002872
38,1530.29,1.0871,0.93125,1.41959,0.68776,0.53311,0.59767,0.34269,1.16427,0.90429,1.64718,0.0002674,0.0002674,0.0002674
39,1562.11,1.09541,0.92264,1.42551,0.63423,0.55418,0.59277,0.36857,1.12519,0.95223,1.60884,0.0002476,0.0002476,0.0002476
40,1594.09,1.08533,0.92588,1.42433,0.62012,0.55153,0.60034,0.33804,1.11168,0.90794,1.597,0.0002278,0.0002278,0.0002278
41,1653.98,1.12904,0.75851,1.51622,0.66855,0.54204,0.62392,0.37907,1.08531,0.91183,1.55677,0.000208,0.000208,0.000208
42,1683.89,1.111,0.72091,1.49571,0.70455,0.51156,0.62051,0.3849,1.04506,0.91419,1.51445,0.0001882,0.0001882,0.0001882
43,1714.7,1.10688,0.71439,1.49085,0.7019,0.54036,0.61718,0.36581,1.0981,0.91034,1.55307,0.0001684,0.0001684,0.0001684
44,1745.46,1.08892,0.69948,1.48654,0.65996,0.5486,0.61732,0.37107,1.10215,0.91226,1.57414,0.0001486,0.0001486,0.0001486
45,1775.59,1.05675,0.67396,1.44993,0.72979,0.50497,0.60317,0.36642,1.10959,0.91023,1.59332,0.0001288,0.0001288,0.0001288
46,1805.85,1.0495,0.67517,1.45437,0.73986,0.50502,0.6162,0.36164,1.12367,0.86729,1.62067,0.000109,0.000109,0.000109
47,1835.3,1.03983,0.65909,1.44663,0.72308,0.52742,0.62449,0.36571,1.13304,0.9079,1.60909,8.92e-05,8.92e-05,8.92e-05
48,1865.17,1.02449,0.64323,1.4349,0.76174,0.50625,0.63512,0.38702,1.11449,0.90997,1.58637,6.94e-05,6.94e-05,6.94e-05
49,1895.04,1.01353,0.63702,1.41646,0.75519,0.506,0.62186,0.37234,1.11455,0.87347,1.59486,4.96e-05,4.96e-05,4.96e-05
50,1924.85,1.00526,0.62882,1.40769,0.75847,0.5072,0.64319,0.37637,1.13166,0.86937,1.61255,2.98e-05,2.98e-05,2.98e-05
