epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.4734,1.54488,2.91309,1.85107,0.64354,0.35568,0.35672,0.15694,1.3513,1.90792,1.82192,0.000332555,0.000332555,0.000332555
2,84.3967,1.53692,2.1596,1.79058,0.61599,0.2559,0.33253,0.154,1.37751,1.92534,1.83326,0.000652703,0.000652703,0.000652703
3,114.957,1.52446,1.94993,1.77686,0.69285,0.30029,0.37579,0.19715,1.38979,1.59543,1.83469,0.000959652,0.000959652,0.000959652
4,162.358,1.52077,1.8042,1.76999,0.79394,0.37278,0.44753,0.21167,1.36296,1.34321,1.77766,0.0009406,0.0009406,0.0009406
5,211.622,1.4778,1.68306,1.728,0.6656,0.37919,0.43821,0.22923,1.36864,1.29639,1.79267,0.0009208,0.0009208,0.0009208
6,261.337,1.4824,1.63876,1.72375,0.72614,0.3681,0.45862,0.26606,1.34217,1.37552,1.81047,0.000901,0.000901,0.000901
7,308.942,1.44171,1.5576,1.71089,0.48245,0.39611,0.44521,0.208,1.30466,1.29803,1.74502,0.0008812,0.0008812,0.0008812
8,358.18,1.41422,1.52405,1.68117,0.4751,0.46832,0.46926,0.23975,1.36484,1.30489,1.78663,0.0008614,0.0008614,0.0008614
9,407.154,1.39885,1.49934,1.66396,0.49565,0.48138,0.51017,0.25347,1.34368,1.20363,1.81129,0.0008416,0.0008416,0.0008416
10,454.416,1.36111,1.44542,1.64459,0.55851,0.50345,0.51157,0.25258,1.29833,1.21702,1.7144,0.0008218,0.0008218,0.0008218
11,501.694,1.3727,1.39837,1.64722,0.58774,0.41122,0.45956,0.23255,1.25411,1.3033,1.66711,0.000802,0.000802,0.000802
12,548.664,1.34983,1.37487,1.62232,0.93065,0.37242,0.48047,0.28668,1.23241,1.19792,1.68009,0.0007822,0.0007822,0.0007822
